simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
85,2655375120.5620227,8.029954572391348e-08,1.6469030902931785,0.2314392557104063,2.157978257337794,252.57848821996345,81983.45012937169,1,0.0009076229167272,252.56091284834972,81961.48287358155,7.414347176851778,1.004312252667098,252.43824551246465,81806.75052361946,0.0009024694228949,5.169187981430185e-06,0.4707330611294358,0.934,152090892.7762858
86,65779449.15666136,1.5288603405570064e-09,1.6512665387367864,0.7841818073756922,0.0175149755633514,300.7632783306131,73525.70204697718,1,0.0329240961383235,300.759804735583,73522.72855099272,1710.0,1.011560730544152,300.4976751570269,73267.46329567963,0.0329066307360318,1.7465569409998376e-05,1.1618434667986175,0.0,7872.175322838717
87,8401811056.662161,8.008417441934595e-09,1.6058147800494695,0.6176781005805787,7.881484730397259,260.6904697945277,100501.56532806734,1,0.0014600411893662,260.6709438802598,100475.20298815696,3.806389408368224,1.0151417948363586,260.415845723765,100109.01453531632,0.0014552871557971,4.7543082640697446e-06,1.5543993677934242,0.199,98684099.89913388
88,1117949433.3094862,4.5684478190873456e-08,1.723437685469665,0.6933842561572428,4.218435644908418,293.70672892626766,64042.47874428909,1,0.0244372143589543,293.6878450078173,64027.37346868644,4.504039316786233,1.0057031427976482,293.5607752289313,63894.33537275709,0.0244119696125309,2.524837792557768e-05,0.6037637818719466,0.945,37785633.21304844
89,562986489.3149718,3.171556274015689e-09,1.758525867605944,0.4177738545849661,0.2422223986369147,248.13213798924747,68083.14693060546,1,0.0007379820441309,248.11261470876372,68064.39064581961,152.75218232588833,1.021133972170991,247.7812517642813,67736.57101331653,0.0007338509423399,4.131315193986803e-06,2.153366371942056,0.011,0.0
91,98653586.68929678,5.248031483607261e-09,1.663777426426978,0.6193339001947945,0.0484813472730364,251.3648266644981,57952.78798947344,1,0.0011557535898162,251.35535974769573,57945.14543778914,420.0,1.0111407575365758,251.17265035751632,57791.85518544533,0.0011523255175387,3.428159088928366e-06,1.1343996837025472,0.018,0.0
92,2850706833.448615,1.372313159161128e-07,1.7306840529473364,0.4424205666390029,0.6533952356795746,262.7883130576454,51013.98393017372,1,0.0034127455581088,262.61500793300974,50851.0692984144,281.60597132090817,1.000714574626642,261.3720028382135,49717.671345272815,0.0031284069600095,0.0002845278582044,0.1092783458649826,0.848,16557496.4906377
94,551372169.3246105,4.9741051436618965e-09,1.7646013744147178,0.7241276181829334,0.0274895999208302,287.4148274497884,79255.06375946998,1,0.0130374055795438,287.4094285835088,79249.85063278883,370.0,1.00420390916801,287.32588008494605,79158.41694709858,0.0130328152992829,4.590346195816854e-06,0.4292037073140298,0.003,0.0
95,60862691.6421422,3.226734652204404e-07,1.6180764180899918,0.8531314698376085,0.6220226749346021,298.58427418586643,77405.17675190771,1,0.0272727697607543,298.5747397224385,77387.49405725919,36.97614400056744,1.0030465390553462,298.4567947017527,77189.66113609358,0.0272233406644472,4.9458798701317696e-05,0.3360381303570303,1.0,468492.87480626686
97,82497211.16430381,2.012937730173717e-09,1.6578871937962338,1.149657136243464,9.38728850785423,253.54636872494743,88043.13472438983,1,0.0009187045056509,253.52684374138155,88019.39547286635,26.525231411782613,1.1283658427511931,251.24547762643667,85126.98816152933,0.0008781975674293,4.050901110675416e-05,12.879624196180162,0.346,0.0
98,118760393.01387788,1.0779796552047552e-09,1.6995029625509448,0.9122292777935138,0.0734344063310737,294.4448549452257,68950.10120234928,1,0.0237246209439876,294.4303567141144,68938.2134628367,680.0,1.0205305667892468,293.9991981171637,68541.2200553968,0.0236981130290094,2.6508993738030257e-05,2.0781960177535863,0.0,0.0
