simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
81,1.12E+07,6.24E-07,1.989331178,0.301196208,2.448358269,275.0719781,69273.89206,1,0.006370888,275.0622409,69265.27142,48.60399784,1.02407504,274.2045476,68220.48407,0.006223478,0.003080143,0.024086575,1,0,1,0.469403427,2.89E-05,3.659514307,,
82,1.18E+09,1.44E-09,1.655213443,1.321843549,0.015970218,265.4114647,72954.14472,1,0.002929219,265.4016927,72944.73939,1815.880037,1.014853239,265.1446482,72681.85913,0.002922651,6.57E-06,0.014886201,9.34E-05,0,9.34E-05,9.34E-05,2.92E-09,19.19601339,,
83,2.03E+07,3.06E-06,1.528360899,1.18553194,4.537246213,301.6103587,86968.18464,1,0.029068985,301.6015639,86958.46411,5.50995005,1.001764474,301.4963948,86711.21339,0.029011551,3.144850093,0.001794562,1,0,1,0,0.000181488,4.789912214,,
84,1.53E+07,1.01E-06,1.873931574,1.477233175,6.196557349,263.6042122,96349.69871,1,0.001922689,263.5945169,96337.22197,32.11460635,1.016304815,262.1346037,93911.5256,0.001783977,0.114950627,0.016307666,1,0,1,0.010390866,5.05E-05,6.666399589,,
85,1.76E+09,6.30E-07,1.599620385,0.938294685,0.022183997,270.7570017,51750.44164,1,0.006226539,270.7514766,51744.55315,495.8529269,1.000001788,270.6836955,51672.30682,0.006201903,0.297658039,1.91E-06,2.78E-05,0,2.78E-05,0,1.43E-05,5.671534741,,
86,2.03E+09,1.36E-07,1.78166141,1.442369784,5.685373822,264.8375707,74592.46766,1,0.00273903,264.8282617,74582.94522,3.693688517,1.002390373,264.6807192,74388.6314,0.002719543,0.001324064,0.002393312,0.99488763,8.45E+07,0.99488763,0.029230687,2.03E-06,7.623235764,,
87,2.90E+09,3.89E-06,1.75172334,0.745540104,0.038852764,268.6724304,68699.11268,1,0.003998909,268.660115,68682.32778,128.6909738,0.999999952,268.6401594,68655.14545,0.003991689,2333.805783,3.06E-07,0.008258091,0,0.008258091,0,0.00019465,7.937601701,,
88,1.08E+08,1.91E-07,1.722789336,0.858367619,0.01327099,282.2977489,76929.75373,1,0.009524977,282.2927601,76921.52936,2788.036224,1.000141561,282.1085731,76572.03893,0.009448243,0.000192895,0.00014183,0.376149864,0,0.376149864,0,2.61E-06,7.751799554,,
91,6.17E+09,5.98E-07,1.584348595,1.381745611,6.813444746,296.0213361,59055.32664,1,0.03082562,296.0172114,59049.32816,8.219043684,1.000101729,295.7700137,58595.71506,0.030590101,1.499258316,0.000102227,0.981304876,0,0.981304876,0,1.69E-05,5.427631259,,
92,3.40E+09,3.74E-07,1.852397489,1.307609565,0.228975646,306.6015955,92025.64099,1,0.036938672,306.5988241,92017.04806,39.30549008,1.000008858,306.5718888,91930.65914,0.036914483,0.333241887,9.21E-06,0.037306339,0,0.037306339,0,8.20E-06,9.746823721,,
93,3.58E+08,3.07E-06,1.598387248,1.09291925,0.011893897,308.2637239,51221.16934,1,0.077233541,308.2610625,51216.19799,1008.920762,1.000000373,308.2123216,51125.17842,0.077150137,135.5122306,4.27E-07,0.009705623,0,0.009705623,0,0.000176434,5.657759631,,
94,1.18E+07,5.89E-07,1.833382188,1.416674002,0.700917133,300.3170504,69953.97923,1,0.033756958,300.3076573,69945.98914,55.64138491,1.003771821,300.1150952,69609.22849,0.033645743,0.011293157,0.003774516,1,26605.5042,1,0.08220229,3.06E-05,4.794927441,,
95,3.82E+08,8.00E-09,1.653940318,0.187527808,0.128737943,273.9549588,81766.45684,1,0.004969969,273.9451772,81756.23402,155.3543546,1.008635157,273.7805328,81563.03622,0.00496238,7.59E-06,0.008678435,0.0118887,0,0.0118887,0.0118887,2.68E-08,31.67870698,,
